```
english_text,egyptian_arabic
"Last weekend, I decided to try out a new restaurant in town that everyone was talking about. The food was absolutely delicious and the atmosphere was really cozy.","الويك اند اللي فات قررت أجرب مطعم جديد في البلد الكل كان بيتكلم عنه. الأكل كان لذيذ جداً والجو كان مريح بجد."
"Yesterday, I bumped into an old colleague at the mall who I hadn’t seen since we worked together years ago. We caught up over a cup of coffee and shared some laughs.","امبارح قابلت واحد زميل قديم في المول ما شفتوش من وقت ما كنا بنشتغل سوا من سنين. قعدنا ندردش على فنجان قهوة وتشاركنا الضحك."
"I was surprised to hear that my cousin is moving abroad next month for a new job opportunity. It’s a big change, but I’m sure he’ll do great.","اتفاجئت لما سمعت إن ابن عمي مسافر بره الشهر الجاي لشغل جديد. تغيير كبير بس متأكد إنه هيكون كويس."
"While scrolling through social media, I found an interesting article about the benefits of meditation. I think it might be helpful for reducing stress.","وأنا بتصفح السوشيال ميديا لقيت مقال مثير عن فوائد التأمل. أعتقد إنه ممكن يكون مفيد لتقليل التوتر."
"On my way to work this morning, I saw a beautiful sunrise that made my day start on a positive note. Nature has a way of lifting spirits.","في طريقي للشغل النهاردة الصبح شفت شروق شمس جميل خلاني أبدأ يومي بنغمة إيجابية. الطبيعة عندها طريقة إنها ترفع الروح المعنوية."
"My friend just adopted a puppy, and she’s been sharing adorable pictures of it on her social media. It's making everyone want a pet!","صاحبتي لسه متبنية جرو، وبتنشر صور جميلة ليه على السوشيال ميديا. ده بيخلي الكل عاوز يجيب حيوان أليف!"
"I had a long chat with my brother last night about our childhood memories, and we ended up laughing so hard we cried. It was a heartwarming moment.","قعدت أدردش كتير مع أخويا امبارح بالليل عن ذكريات طفولتنا، وضحكنا جامد لدرجة إننا عيطنا. كانت لحظة دافئة."
"After finishing a thrilling book, I couldn't help but recommend it to all my friends. It's one of those stories you can't put down.","بعد ما خلصت كتاب مثير، ماقدرتش أقاوم إني أرشحه لكل صحابي. من النوع اللي ماتقدرش تبطل تقراه."
"I spent the afternoon gardening and found it surprisingly therapeutic. Watching plants grow is incredibly satisfying.","قضيت العصر بزرع الزرع ولقيت إنه بشكل مفاجئ علاج نفسي. متابعة نمو النباتات مُرضية جداً."
"I met a traveler at the coffee shop who shared fascinating stories about his journeys across the globe. It inspired me to plan my next adventure.","قابلت مسافر في الكافيه شارك قصص مثيرة عن رحلاته حول العالم. ألهمني أخطط لمغامرتي الجاية."
```
